Serial_no,Date_of_Read,Author_of_book,Name_of_book,Year_Published,No_of_pages,Rating
1,01-06-1968,"Jean-Jacques Rousseau","The Confessions",1781,606,4
2,01-06-1968,"Erich Fromm","The Art of Loving",1956,146,5
3,01-06-1968,"Mark Twain","The Adventures of Huckleberry Finn",1884,288,3
4,01-07-1968,"James Thurber","My Life and Hard Times",1933,115,0
5,01-07-1968,"William Shakespeare","Romeo and Juliet",1596,146,0
6,01-08-1968,"John Barth","The End of the Road",1958,206,4
7,01-09-1968,"Aldous Huxley","Brave New World",1932,199,0
8,01-09-1968,"Fritz Peters","Boyhood with Gurdjieff",1964,174,2
9,01-10-1968,"P.D. Ouspensky","In Search of the Miraculous",1949,389,4
10,01-11-1968,"Russell H. Miles","Johann Sebastian Bach, an Introduction to his Life and Works",1962,164,1
11,01-12-1968,"Hunter Davies","The Beatles",1968,340,2
12,01-12-1968,"P.D. Ouspensky","The Strange Life of Ivan Osokin",1955,166,1
13,01-01-1969,"René Daumal","Mount Analogue",1952,106,3
14,01-01-1969,"Bernard Malamud","The Assistant",1957,192,5
15,01-01-1969,"C.G. Jung","Memories, Dreams, Reflections",1961,359,3
16,01-01-1969,"Philip Roth","Goodbye, Columbus",1959,97,3
17,01-02-1969,"Malcolm X and Alex Haley",Autobiography,1964,460,3
18,01-02-1969,"Jule Eisenbud, M.D.","The World of Ted Serios",1968,339,2
19,01-02-1969,"Penelope Gilliatt","A State of Change",1967,221,0
20,01-02-1969,"Oscar Wilde","The Picture of Dorian Gray",1891,234,2
21,01-02-1969,"Joseph Heller","Catch 22",1961,463,3
22,01-02-1969,Voltaire,Candide,1758,144,5
23,01-02-1969,"F. Scott Fitzgerald","The Great Gatsby",1925,182,3
24,01-02-1969,"L.N. Tolstoy","War and Peace",1869,1444,4
25,01-05-1969,"Philip Roth","Portnoy's Complaint",1969,274,0
26,01-05-1969,"George Orwell","Down and Out in Paris and London ",1933,155,1
27,01-06-1969,"Fyodor Dostoyevsky","The Brothers Karamazov",1881,701,0
28,01-06-1969,"Norman Podhoretz","Making It",1967,262,0
29,01-06-1969,"Rodney Collin","The Theory of Eternal Life",1948,123,0
30,01-06-1969,"Norman Mailer","Miami and the Siege of Chicago",1968,223,2
31,01-07-1969,"G.I. Gurdjieff","Meetings with Remarkable Men",1927,303,1
32,01-07-1969,"William Shakespeare",Hamlet,1602,214,2
33,01-08-1969,"James Simon Kunen","The Strawberry Statement",1969,151,2
34,01-09-1969,"Emily Brontë","Wuthering Heights",1847,320,1
35,01-01-1970,"Herman Melville","Moby Dick",1851,535,4
36,01-01-1970,"Johann Wolgang Goethe","The Sorrows of Young Werther",1774,199,5
37,01-02-1970,"Jean-Paul Sartre",Nausea,1938,253,0
38,01-03-1970,"Garrett Mattingly","The Armada",1959,402,3
39,01-04-1970,"Honoré de Balzac","Eugénie Grandet",1833,248,4
40,01-04-1970,"Bertrand Russell","The Conquest of Happiness",1930,180,3
41,01-05-1970,"Margaret Mead","Culture and Commitment",1970,97,0
42,01-07-1970,"Jane Austen","Sense and Sensibility",1811,349,1
43,01-08-1970,"L.N. Tolstoy","Childhood, Boyhood, Youth",1857,319,4
44,01-09-1970,"Norman Zierold",Garbo,1969,157,5
45,01-10-1970,"Joan Didion","Play It as It Lays",1970,152,4
46,01-10-1970,"Anais Nin",Diary,1934,358,2
47,01-11-1970,"André Gide","The Counterfeiters",1927,397,0
48,01-12-1970,"Gustave Flaubert","Sentimental Education",1869,419,2
49,01-01-1971,"Joseph Conrad","Lord Jim",1900,313,0
50,01-01-1971,"William Shakespeare",Othello,1602,128,2
