Sr.No,Year,Facility_number,Facility_name,Start_date,End_date,Country_name,Type_of_control,Hours_type,Productive_hours,Productive_hours_per_adjusted_patient_day,performance
101,2009,106010735,"ALAMEDA HOSPITAL",7/1/2008,6/30/2009,Alameda,District,"Management & Supervision",63558,1,NULL
102,2009,106010735,"ALAMEDA HOSPITAL",7/1/2008,6/30/2009,Alameda,District,"Technician & Specialist",163706,3,NULL
103,2009,106010735,"ALAMEDA HOSPITAL",7/1/2008,6/30/2009,Alameda,District,"Registered Nurse",180034,3,NULL
104,2009,106010735,"ALAMEDA HOSPITAL",7/1/2008,6/30/2009,Alameda,District,"Licensed Vocational Nurse",22323,0,NULL
105,2009,106010735,"ALAMEDA HOSPITAL",7/1/2008,6/30/2009,Alameda,District,"Aides & Orderlies",97205,2,NULL
106,2009,106010735,"ALAMEDA HOSPITAL",7/1/2008,6/30/2009,Alameda,District,"Clerical & Other Administrative",134039,2,NULL
107,2009,106010735,"ALAMEDA HOSPITAL",7/1/2008,6/30/2009,Alameda,District,"Environmental & Food Services",80229,1,NULL
108,2009,106010735,"ALAMEDA HOSPITAL",7/1/2008,6/30/2009,Alameda,District,Other,0,0,NULL
109,2009,106010735,"ALAMEDA HOSPITAL",7/1/2008,6/30/2009,Alameda,District,"Contracted Registry Nursing",31481,1,NULL
110,2009,106010735,"ALAMEDA HOSPITAL",7/1/2008,6/30/2009,Alameda,District,"Contracted Other",8390,0,NULL
111,2009,106010735,"ALAMEDA HOSPITAL",7/1/2008,6/30/2009,Alameda,District,"Daily Cost Centers",260972,5,NULL
112,2009,106010735,"ALAMEDA HOSPITAL",7/1/2008,6/30/2009,Alameda,District,"Ambulatory Cost Centers",46532,1,NULL
113,2009,106010735,"ALAMEDA HOSPITAL",7/1/2008,6/30/2009,Alameda,District,"Ancillary Cost Centers",196650,4,NULL
114,2009,106010735,"ALAMEDA HOSPITAL",7/1/2008,6/30/2009,Alameda,District,"Education Cost Centers",0,0,NULL
115,2009,106010735,"ALAMEDA HOSPITAL",7/1/2008,6/30/2009,Alameda,District,"General Services Cost Centers",145124,3,NULL
116,2009,106010735,"ALAMEDA HOSPITAL",7/1/2008,6/30/2009,Alameda,District,"Fiscal Services Cost Centers",53108,1,NULL
117,2009,106010735,"ALAMEDA HOSPITAL",7/1/2008,6/30/2009,Alameda,District,"Administrative Services Cost Centers",78579,1,NULL
118,2009,106010739,"ALTA BATES SUMMIT MED CTR-ALTA BATES CAMPUS",1/1/2009,12/31/2009,Alameda,Non-Profit,"Management & Supervision",205117,1,NULL
119,2009,106010739,"ALTA BATES SUMMIT MED CTR-ALTA BATES CAMPUS",1/1/2009,12/31/2009,Alameda,Non-Profit,"Technician & Specialist",902371,5,NULL
120,2009,106010739,"ALTA BATES SUMMIT MED CTR-ALTA BATES CAMPUS",1/1/2009,12/31/2009,Alameda,Non-Profit,"Registered Nurse",1322810,8,NULL
121,2009,106010739,"ALTA BATES SUMMIT MED CTR-ALTA BATES CAMPUS",1/1/2009,12/31/2009,Alameda,Non-Profit,"Licensed Vocational Nurse",109242,1,NULL
